name,purchasePrice,listPrice,qty,platform,status,category,notes
Oakley Meta Vanguard,,,1,eBay,InStock,Meta Glasses,Sealed
Ray-Ban Meta Gen 2 Wayfarer 50 Shiny Black RW4012,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta Gen 2 Wayfarer 53 Shiny Black RW4012,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta Gen 2 Wayfarer 53 Matte Black RW4012,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta Gen 1 Headliner 50 Shiny Black RW4006,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta Gen 1 Skyler 50 Shiny Black RW4006,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta Gen 1 Wayfarer 53 Matte Black RW4008,,,1,eBay,InStock,Meta Glasses,
Oakley Meta Vanguard case,,,1,eBay,InStock,Accessories,"Spare case, no glasses"
Ray-Ban Meta charging case,,,5,eBay,InStock,Accessories,
Apple Watch strap - Original Midnight,,,51,eBay,InStock,Apple Watch Straps,Genuine Apple
Apple Watch strap - Original Starlight,,,11,eBay,InStock,Apple Watch Straps,Genuine Apple
Apple Watch strap - Stainless Steel Black,,,1,eBay,InStock,Apple Watch Straps,
Apple Watch strap - Stainless Steel Silver,,,1,eBay,InStock,Apple Watch Straps,
Apple Watch strap - Stainless Steel Rose Gold,,,1,eBay,InStock,Apple Watch Straps,
Apple Watch strap - Silicone Pink,,,1,eBay,InStock,Apple Watch Straps,
Apple Watch strap - Silicone Beige,,,1,eBay,InStock,Apple Watch Straps,
Apple Watch strap - Silicone Black,,,1,eBay,InStock,Apple Watch Straps,
Apple Watch strap - Silicone Sport (perforated) Grey,,,1,eBay,InStock,Apple Watch Straps,
Apple Watch strap - Silicone Sport (perforated) Pink,,,1,eBay,InStock,Apple Watch Straps,
Apple AirTag,,,1,eBay,InStock,Apple AirTags,
AirTag cover,,,1,eBay,InStock,Apple AirTags,
Ring Doorbell parts,,,1,eBay,InStock,Ring Doorbell,
