name,purchasePrice,listPrice,qty,platform,status,category,notes
Oakley Meta Vanguard,,,1,eBay,InStock,Meta Glasses,Sealed
Oakley Meta Vanguard - extra case,,,1,eBay,InStock,Meta Glasses,"Spare case, no glasses"
Ray-Ban Meta Gen 2 Wayfarer 50 Shiny Black RW4012,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta Gen 2 Wayfarer 53 Shiny Black RW4012,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta Gen 2 Wayfarer 53 Matte Black RW4012,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta Gen 1 Headliner 50 Shiny Black RW4006,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta Gen 1 Skyler 50 Shiny Black RW4006,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta Gen 1 Wayfarer 53 Matte Black RW4008,,,1,eBay,InStock,Meta Glasses,
Ray-Ban Meta charging case,,,1,eBay,InStock,Accessories,(unit 1/5)
Ray-Ban Meta charging case,,,1,eBay,InStock,Accessories,(unit 2/5)
Ray-Ban Meta charging case,,,1,eBay,InStock,Accessories,(unit 3/5)
Ray-Ban Meta charging case,,,1,eBay,InStock,Accessories,(unit 4/5)
Ray-Ban Meta charging case,,,1,eBay,InStock,Accessories,(unit 5/5)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 1/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 2/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 3/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 4/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 5/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 6/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 7/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 8/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 9/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 10/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 11/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 12/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 13/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 14/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 15/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 16/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 17/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 18/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 19/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 20/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 21/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 22/51)
Apple Watch strap - Original Midnight,,,1,eBay,InStock,Apple Watch Straps,Genuine Apple (unit 23/51)
